EnvGroup	EnvSubgroup	CanonicalTerm	Variants	Notes
Social & socioeconomic factors	Income	Poverty	poverty; low income; financial hardship; economic stress; financial stress	Material deprivation
Social & socioeconomic factors	Education	Low education	low education; low educational attainment; low schooling; limited education; low education level; lower education level	Educational disadvantage
Social & socioeconomic factors	Employment	Unemployment	unemployment; joblessness; unemployed; long-term unemployment	Labour market exclusion
Social & socioeconomic factors	Work stress	Job strain	job strain; high job strain; effort-reward imbalance; occupational stress; work stress	Chronic work stress
Social & socioeconomic factors	Social isolation	Social isolation	social isolation; social withdrawal; living alone; lack of social contact	Low social integration
Social & socioeconomic factors	Loneliness	Loneliness	loneliness; felt loneliness; perceived loneliness	Subjective loneliness (kept separate from structural isolation); bare "lonely" avoided
Social & socioeconomic factors	Social support	Lack of social support	low social support; poor social support; inadequate social support; lack of social support	Perceived support deficits; bare "lack of support" removed
Social & socioeconomic factors	Discrimination	Discrimination and stigma	discrimination; racial discrimination; ethnic discrimination; perceived discrimination; social stigma; mental health stigma; social exclusion	Chronic exposure to discrimination; bare "stigma" removed
Social & socioeconomic factors	Migration	Migration and acculturation stress	migration stress; acculturation stress; immigrant stress; immigration stress	Stress related to migration and acculturation
Social & socioeconomic factors	Disability	Disability	disability; physical disability; intellectual disability; living with disability; functional disability	Functional/social disability context; bare "disabled" avoided
Stressful life events & chronic stress	Acute events	Major stressful life event	acute life event; major life event; stressful life event; severe life stress; negative life events; stressful life events	Generic acute stressor category
Stressful life events & chronic stress	Bereavement	Bereavement	bereavement; loss of a loved one; death of spouse; death of close relative; grief after bereavement	Interpersonal loss event
Stressful life events & chronic stress	Relationship stress	Relationship breakup	relationship breakup; marital dissolution; marital separation; relationship dissolution	Interpersonal stressor
Stressful life events & chronic stress	Relationship stress	Divorce	divorce; divorced; marital divorce	Explicit divorce mentions
Stressful life events & chronic stress	Interpersonal rejection	Interpersonal stress and social rejection	interpersonal stress; social rejection; interpersonal loss; ostracism	Strong proximal risk factor for MDD
Stressful life events & chronic stress	Caregiving	Caregiving burden	caregiving burden; caregiver stress; caring for a sick relative; caregiver burden	Chronic role strain
Stressful life events & chronic stress	Chronic stress	Chronic stress	chronic stress; chronic psychosocial stress; prolonged stress; psychosocial stress	Persistent stress exposure
Stressful life events & chronic stress	Perceived stress	Perceived stress	perceived stress; high perceived stress; subjective stress	Self-rated stress burden
Substance use & lifestyle	Alcohol	Alcohol misuse	alcohol misuse; alcohol abuse; alcohol dependence; hazardous drinking; heavy drinking; alcohol use disorder; alcohol use disorders; alcohol use; alcohol consumption	Alcohol-related exposure (clinical labels may also hit Disease rarely)
Substance use & lifestyle	Cannabis	Cannabis use	cannabis use; marijuana use; cannabis abuse; cannabis dependence	Cannabis as environmental risk factor
Substance use & lifestyle	Other substances	Other substance use	substance use; drug misuse; illicit drug use; polysubstance use; substance abuse	Non-specific psychoactive substances
Substance use & lifestyle	Sleep	Sleep disruption	sleep disruption; sleep deprivation; irregular sleep-wake cycle; poor sleep; disturbed sleep; sleep disturbance; sleep disturbances; poor sleep quality	Circadian/sleep risk; bare "insomnia" and bare "sleep quality" avoided
Substance use & lifestyle	Physical activity	Physical inactivity	physical inactivity; sedentary lifestyle; low physical activity; lack of physical activity; insufficient physical activity	Behavioural risk factor (not "physical activity" as protective exposure)
Substance use & lifestyle	Diet	Poor diet	unhealthy diet; poor diet; high-fat diet; low fruit and vegetable intake	Dietary risk factor
Substance use & lifestyle	Body weight	High body mass index	body mass index; high body mass index; elevated BMI; high BMI; overweight; obesity; obese	BMI/adiposity as lifestyle-related exposure; HunFlair rarely tags these as Disease
Physical environment	Urbanicity	Urban environment	urbanicity; urban environment; city living; high-density urban living; urban living	Urban vs rural context
Physical environment	Greenness	Low residential greenness	low greenness; lack of green space; low residential greenness; low access to parks	Physical environment with few green areas
Physical environment	Pollution	Air pollution	air pollution; traffic-related air pollution; PM2.5 exposure; high pollution levels; particulate matter exposure	Environmental pollution exposure
Physical environment	Noise	Environmental noise	traffic noise; environmental noise; chronic noise exposure	Noise stressor
Physical environment	Housing	Overcrowded or poor housing	overcrowded housing; poor housing conditions; substandard housing; housing instability; housing insecurity	Deprived housing environment
Physical environment	Climate	Climate and temperature extremes	heat waves; extreme cold exposure; extreme temperature; climate stress	Climate-related stressors
Reproductive & sex-specific	Postpartum period	Postpartum period	postpartum period; postnatal period; after childbirth	Window of increased depression risk; bare "postpartum"/"postnatal" removed to avoid "postpartum depression" noise
Reproductive & sex-specific	Postpartum stress	Stressful perinatal events	stressful perinatal events; stressful pregnancy events; stressful postpartum events	Stress cluster around childbirth
Reproductive & sex-specific	Hormonal factors	Hormonal changes related to reproduction	perimenopause; premenstrual period; postpartum hormonal changes; reproductive hormonal changes; menopausal transition	Hormone-related risk periods
